HTS CODE	DESCRIPTION	BASE DUTY RATE
	Containing by weight less than 0.25 percent of carbon:	
	Containing by weight 0.25 percent or more but less than 0.6 percent of carbon:	
	Other:	
	Containing by weight less than 0.25 percent of carbon:	
	Containing by weight 0.25 percent or more but less than 0.6 percent of carbon:	
	Plated or coated with metal:	
	"L or T sections, not further worked than hot-rolled, hot-drawn or extruded, of a height of less than <il>80 mm</il>:"	
	"U, I or H sections, not further worked than hot-rolled, hot-drawn or extruded, of a height of <il>80 mm</il> or more:"	
	"Angles, shapes and sections, not further worked than cold-formed or cold-finished:"	
	Other:	
	Containing by weight less than 0.25 percent of carbon:	
	Flat wire:	
	Round wire:	
	Heat treated:	
	Other:	
	Containing by weight 0.25 percent or more but less than 0.6 percent of carbon:	
	Containing by weight 0.6 percent or more of carbon:	
	Heat treated:	
	Other:	
	Round wire:	
	With a diameter of less than 1.0 mm:	
	With a diameter of 1.0 mm or more but less than 1.5 mm:	
	With a diameter of 1.5 mm or more:	
	Other:	
	Round wire:	
	Other:	
	With a diameter of less than 1.0 mm:	
	With a diameter of 1.0 mm or more but less than 1.5 mm:	
	Other:	
	III. STAINLESS STEEL	
	Other:	
	Having a width less than four times the thickness:	
	Of square cross section:	
	Of circular cross section:	
	"Not further worked than hot-rolled, in coils:"	
	Other:	
	Other:	
	Of a width of 1370 mm or more:	
	Of a thickness exceeding 6.8 mm:	
	Other:	
	Other:	
	Containing more than 0.5 percent by weight of nickel:	
	Other:	
	Other:	
	Containing more than 0.5 percent but less than 24 percent by weight of nickel:	
	Other:	
	"Not further worked than hot-rolled, not in coils:"	
	Other:	
	Other:	
	Containing more than 0.5 percent by weight of nickel:	
	Containing more than 1.5 percent but less than 5 percent by weight of molybdenum:	
	Other:	
	Other:	
	Not further worked than cold-rolled (cold-reduced):	
	In coils:	
	Of a width of 1370 mm or more:	
	Other:	
	Other:	
	Other:	
	Containing more than 0.5 percent by weight of nickel:	
	Other:	
	Not in coils:	
	In coils:	
	Of a width of 1370 mm or more:	
	Other:	
	Other:	
	Other:	
	Containing more than 0.5 percent by weight of nickel:	
	Other:	
	Not in coils:	
	Other:	
	In coils:	
	Other:	
	Containing more than 0.5 percent by weight of nickel:	
	Other:	
	In coils:	
	Containing more than 0.5 percent but less than 24 percent by weight of nickel:	
	Other:	
	Other:	
	Containing more than 0.5 percent by weight of nickel:	
	Other:	
	Not further worked than hot-rolled:	
	Containing more than 0.5 percent but less than 24 percent by weight of nickel:	
	Other:	
	Of a width of less than 300 mm:	
	Other:	
	Containing more than 0.5 percent by weight of nickel:	
	Other:	
	Other:	
	Containing more than 0.5 percent by weight of nickel:	
	Other:	
	Of a thickness not exceeding 0.25 mm:	
	Containing more than 0.5 percent but less than 24 percent by weight of nickel:	
	Other:	
	Other:	
	Of circular cross section:	
	With a diameter of less than 14 mm:	
	"Bars and rods, not further worked than hot-rolled, hot-drawn or extruded:"	
	Other:	
	With a maximum cross-sectional dimension of less than 152.4 mm:	
	With a maximum cross-sectional dimension of 152.4 mm or more:	
	Other:	
	Other:	
	Other:	
	Of a circular cross-section:	
	With a maximum circular cross-sectional dimension of less than 18 mm:	
	With a maximum circular cross-sectional dimension of 18 mm or more and less than 152.4 mm:	
	With a maximum circular cross-sectional dimension of 152.4 mm or more:	
	Other:	
	Other:	
	With a maximum cross-sectional dimension of less than 152.4 mm:	
	With a maximum cross-sectional dimension of 152.4 mm or more:	
	With a maximum cross-sectional dimension of <il>80 mm</il> or more:	
	With a maximum cross-sectional dimension of less than <il>80 mm</il>:	
	Other:	
	"IV. OTHER ALLOY STEEL; HOLLOW DRILL BARS AND RODS, OF ALLOY OR NONALLOY STEEL"	
	Other:	
	Other:	
	Of tool steel:	
	Of rectangular (including square) cross section:	
	Other:	
	Of rectangular (including square) cross section:	
	Of silicon electrical steel:	
	Of a thickness of <il>4.75 mm</il> or more:	
	Of a thickness of less than <il>4.75 mm</il>:	
	Of a thickness of <il>4.75 mm</il> or more:	
	Of a thickness of less than <il>4.75 mm</il>:	
	Other:	
	Of a thickness of less than <il>4.75 mm</il>:	
	Other:	
	Of silicon electrical steel:	
	Other:	
	Of tool steel (other than high-speed steel):	
	Other:	
	Other:	
	Of a thickness of less than <il>4.75 mm</il>:	
	Of tool steel (other than high-speed steel):	
	Other:	
	Of a width of less than 300 mm:	
	Of tool steel (other than high-speed steel):	
	Of a circular cross section:	
	Cold-formed:	
	"Other bars and rods, not further worked than hot-rolled, hot-drawn or extruded:"	
	Other:	
	Other:	
	With a maximum cross-sectional dimension of less than <il>18 mm</il>:	
	With a maximum cross-sectional dimension of <il>18 mm</il> or more:	
	Other:	
	Other:	
	Other:	
	With a maximum cross-sectional dimension of 76 mm or more:	
	With a maximum cross-sectional dimension of less than 76 mm:	
	"Round, with a diameter of less than or equal to <il>1.6 mm</il>, containing by weight less than 0.20 percent of carbon, more than 0.9 percent of manganese, and more than 0.6 percent of silicon, and suitable for electric arc welding:"	
	Other:	
	"With a diameter of less than or equal to <il>1.6 mm</il>, containing by weight less than 0.20 percent of carbon and more than 0.3 percent of nickel or more than 0.08 percent of molybdenum, and suitable for electric arc welding:"	
	Other:	
	New:	
	Not heat treated:	
	Other:	
	Heat treated:	
	Other:	
	Used:	
	Used:	
	Line pipe of a kind used for oil or gas pipelines:	
	Having an outside diameter of <il>215.9 mm</il> or more but not exceeding <il>406.4 mm</il>:	
	"Casing, tubing and drill pipe, of a kind used in drilling for oil or gas:"	
	Having an outside diameter not exceeding <il>168.3 mm</il>:	
	Having an outside diameter not exceeding <il>168.3 mm</il>:	
	Casing:	
	Having an outside diameter less than <il>215.9 mm</il>:	
	Having an outside diameter of <il>215.9 mm</il> or more but not exceeding <il>285.8 mm</il>:	
	Having an outside diameter less than <il>215.9 mm</il>:	
	Having an outside diameter of <il>215.9 mm</il> or more but not exceeding <il>285.8 mm</il>:	
	Having an outside diameter exceeding <il>285.8 mm</il> but not exceeding <il>406.4 mm</il>:	
	Having an outside diameter not exceeding <il>114.3 mm</il>:	
	Casing:	
	Of iron or nonalloy steel:	
	Having an outside diameter less than <il>215.9 mm</il>:	
	Having an outside diameter of <il>215.9 mm</il> or more but not exceeding <il>285.8 mm</il>:	
	Having an outside diameter exceeding <il>285.8 mm</il> but not exceeding <il>406.4 mm</il>:	
	Having an outside diameter less than <il>215.9 mm</il>:	
	Having an outside diameter of <il>215.9 mm</il> or more but not exceeding <il>285.8 mm</il>:	
	Having an outside diameter exceeding <il>285.8 mm</il> but not exceeding <il>406.4 mm</il>:	
	Of other alloy steel:	
	Having an outside diameter less than <il>215.9 mm</il>:	
	Having an outside diameter of <il>215.9 mm</il> or more but not exceeding <il>285.8 mm</il>:	
	Having an outside diameter exceeding <il>285.8 mm</il> but not exceeding <il>406.4 mm</il>:	
	Having an outside diameter less than <il>215.9 mm</il>:	
	Having an outside diameter of <il>215.9 mm</il> or more but not exceeding <il>285.8 mm</il>:	
	Having an outside diameter exceeding <il>285.8 mm</il> but not exceeding <il>406.4 mm</il>:	
	Tubing:	
	Having an outside diameter not exceeding <il>114.3 mm</il>:	
	Having an outside diameter not exceeding <il>114.3 mm</il>:	
	"Other, of circular cross section, of iron or nonalloy steel:"	
	"Suitable for use in boilers, superheaters, heat exchangers, condensers, refining furnaces and feedwater heaters:"	
	Other:	
	Other:	
	Having an outside diameter of <il>38.1 mm</il> or more but not exceeding <il>114.3 mm</il>:	
	Having an outside diameter exceeding <il>114.3 mm</il> but less than <il>190.5 mm:</il>	
	Having an outside diameter of <il>190.5 mm</il> or more but not exceeding <il>285.8 mm</il>:	
	Having an outside diameter exceeding <il>285.8 mm</il> but not exceeding <il>406.4 mm</il>:	
	Having an outside diameter exceeding <il>406.4 mm</il>:	
	"Other, of circular cross section, of stainless steel:"	
	Other:	
	Other:	
	Other:	
	Other:	
	"Other, of circular cross section, of other alloy steel:"	
	Other:	
	"Suitable for use in boilers, superheaters, heat exchangers, condensers, refining furnaces and feedwater heaters:"	
	Other:	
	Other:	
	Other:	
	Having an outside diameter of <il>38.1 mm</il> or more but not exceeding <il>114.3 mm</il>:	
	Having an outside diameter exceeding <il>114.3 mm</il> but less than <il>190.5 mm:</il>	
	Having an outside diameter of <il>190.5 mm</il> or more but not exceeding <il>285.8 mm</il>:	
	Having an outside diameter exceeding <il>285.8 mm</il> but not exceeding <il>406.4 mm</il>:	
	Having a wall thickness of 4 mm or more:	
	Having a wall thickness of less than <il>4 mm:</il>	
	Line pipe of a kind used for oil or gas pipelines:	
	Of iron or nonalloy steel:	
	Of alloy steel:	
	"Other, welded:"	
	Other:	
	Line pipe of a kind used for oil or gas pipelines:	
	Casing and tubing of a kind used in drilling for oil or gas:	
	Casing:	
	Casing:	
	Of iron or nonalloy steel:	
	Other:	
	Tubing:	
	Having a wall thickness of <il>1.65 mm</il> or more:	
	Other:	
	With an outside diameter not exceeding <il>114.3 mm</il>:	
	Galvanized:	
	Imported with coupling:	
	Other:	
	Other:	
	Imported with coupling:	
	Other:	
	With an outside diameter exceeding <il>114.3 mm</il> but not exceeding <il>406.4 mm</il>:	
	Containing more than 0.5 percent by weight of nickel:	
	Other:	
	"Other, cold-drawn or cold-rolled (cold- reduced):"	
	Other:	
	Other:	
	With an outside diameter not exceeding <il>114.3 mm</il>:	
	Containing more than 0.5 percent but less than 24 percent by weight of nickel:	
	With an outside diameter exceeding <il>114.3 mm</il> but not exceeding <il>406.4 mm</il>:	
	Having a wall thickness of <il>1.65 mm</il> or more:	
	Other:	
	"Other, welded, of noncircular cross section:"	
	Having a wall thickness of <il>4 mm</il> or more:	
	Having a wall thickness of less than <il>4 mm:</il>	
	Having a wall thickness of <il>4 mm</il> or more:	
	Having a wall thickness of less than <il>4 mm:</il>	
	Cast fittings:	
	Other:	
	Other:	
	Other:	
	Other:	
	"Other, of stainless steel:"	
	Other:	
	"Not machined, not tooled and not otherwise processed after forging:"	
	With an inside diameter of less than <il>360 mm:</il>	
	With an inside diameter of <il>360 mm</il> or more:	
	With an inside diameter of less than <il>360 mm</il>:	
	Of iron or nonalloy steel:	
	"Not machined, not tooled and not otherwise processed after forging:"	
	Of iron or nonalloy steel:	
	"Columns, pillars, posts, beams, girders and similar structural units:"	
	Other:	
	Other:	
	Of a capacity of less than <il>50 liters:</il>	
	"Containers, of circular cross section, of a volume capacity between 11.4 liters and 26.6 liters, of a kind used for the conveyance of goods:"	
	Other:	
	Certified prior to exportation to have been made in accordance with the safety requirements of sections 178.36 through 178.68 of title 49 CFR or under a specific exemption to those requirements:	
	Stranded wire:	
	Of stainless steel:	
	Other:	
	For prestressing concrete:	
	Other:	
	Other:	
	Galvanized:	
	Other:	
	"Ropes, cables and cordage other than stranded wire:"	
	Of stainless steel:	
	Other:	
	Other:	
	Galvanized:	
	Woven cloth:	
	With meshes finer than <il>36 wires</il> to the lineal centimeter in warp or filling:	
	"Fourdrinier wires, seamed or not seamed, suitable for use in papermaking machines:"	
	With meshes finer than <il>36 wires</il> to the lineal centimeter in warp or maximum:	
	"Fourdrinier wires, seamed or not seamed, suitable for use in papermaking machines:"	
	"Other grill, netting and fencing, welded at the intersection:"	
	"Other grill, netting and fencing:"	
	"Woven wire stucco netting, furred, not reinforced with supplemental horizontal wire:"	
	Articulated link chain and parts thereof:	
	Other:	
	Of not over <il>50 mm</il> pitch and containing more than 3 parts per pitch:	
	Other:	
	Other chain:	
	Of alloy steel:	
	Of iron or nonalloy steel:	
	With links of essentially round cross sections:	
	"Other, suitable for use in powder-actuated handtools:"	
	Other:	
	Of one piece construction:	
	Collated nails:	
	Other:	
	Assembled in a wire coil:	
	Assembled in a plastic strip:	
	Other:	
	Other:	
	Smooth shank:	
	"Coated, plated or painted:"	
	Other:	
	"Coated, plated or painted:"	
	Threaded articles:	
	Having shanks or threads with a diameter of <il>6 mm</il> or more:	
	Bent bolts:	
	Other:	
	With round heads:	
	With hexagonal heads:	
	Other:	
	Other:	
	Continuously threaded rod:	
	Other:	
	Socket screws:	
	Other:	
	Other:	
	Socket screws:	
	Other:	
	With hexagonal heads:	
	Other:	
	Other:	
	Lugnuts:	
	Other:	
	Non-threaded articles:	
	Suitable for motor vehicle suspension:	
	"Helical springs, of wire having a cross-sectional dimension of less than <il>5.1 mm:</il>"	
	Of wire:	
	Cooking appliances and plate warmers:	
	Other:	
	Portable:	
	Other:	
	Other appliances:	
	Of articles in subheading 7321.11.30:	
	Of cooking appliances and plate warmers:	
	Radiators and parts thereof:	
	Other:	
	Cooking and kitchen ware:	
	Other:	
	Cooking ware:	
	Cooking and kitchen ware:	
	Of steel:	
	Other:	
	Cooking ware:	
	Coated or plated with precious metal:	
	Not coated or plated with precious metal:	
	Other:	
	Baths:	
	Other:	
	"Forged or stamped, but not further worked:"	
	Other:	
	Other:	
	Refined copper:	
	Copper alloys:	
	Of copper alloys:	
	Of copper-zinc base alloys (brass):	
	Of copper alloys:	
	Of copper-zinc base alloys (brass):	
	Profiles:	
	Of copper alloys:	
	Profiles:	
	Bars and rods:	
	Other:	
	Profiles:	
	Other:	
	Of refined copper:	
	Of copper alloys:	
	Of refined copper:	
	Of a thickness of less than 5 mm:	
	Of copper-zinc base alloys (brass):	
	Of a thickness of less than 5 mm:	
	Of a width of less than 500 mm:	
	Of a thickness of less than 5 mm:	
	Of a width of less than 500 mm:	
	Of copper-tin base alloys (bronze):	
	Of a thickness of less than 5 mm:	
	Of a thickness of less than 5 mm:	
	Of a thickness of less than 5 mm:	
	Not backed:	
	Backed:	
	Having a base wholly of plastics impregnated glass:	
	Of copper alloys:	
	Other:	
	Of copper-zinc base alloys (brass):	
	Threaded:	
	Other:	
	Threaded:	
	Not fitted with fittings and not made up into articles:	
	"Other articles, not threaded:"	
	Other threaded articles:	
	"Pot scourers and scouring or polishing pads, gloves and the like:"	
	Other:	
	Other:	
	Of copper-zinc base alloys (brass):	
	Other:	
	"Cloth (including endless bands), grill and netting, of copper wire; expanded metal of copper:"	
	Cloth:	
	Other:	
	"Bars, rods and profiles:"	
	Bars and rods:	
	Bars and rods:	
	Wire:	
	Other:	
	Other:	
	Tubes and pipes:	
	Other:	
	Other:	
	Other:	
	Bars and rods:	
	Of aluminum alloys:	
	Bars and rods:	
	"Of aluminum, not alloyed:"	
	Of aluminum alloys:	
	Rectangular (including square):	
	With a thickness of more than 6.3 mm:	
	With a thickness of <il>6.3 mm</il> or less:	
	Aluminum can stock:	
	Other:	
	Other:	
	Not backed:	
	Of a thickness not exceeding <il>0.15 mm:</il>	
	Aluminum can stock:	
	Other:	
	Other:	
	Not fitted with fittings and not made up into articles:	
	Other:	
	Cooking and kitchen ware:	
	Enameled or glazed or containing nonstick interior finishes:	
	Not enameled or glazed and not containing nonstick interior finishes:	
	Other cookware:	
	Other:	
	Other:	
	Other:	
	Other:	
	Other:	
	"Plates, sheets, strip and foil:"	
	"Zinc, not alloyed:"	
	Other:	
	Other:	
	Other:	
	Unwrought magnesium:	
	Unwrought cobalt:	
	Other:	
	Unwrought zirconium; powders:	
	Waste and scrap:	
	Other:	
	Other:	
	Unwrought manganese:	
	Beryllium:	
	Chromium:	
	Hafnium:	
	Rhenium:	
	Thallium:	
	Cadmium:	
	Other:	
	Other:	
	Germanium:	
	"Circular saw blades (including slitting or slotting saw blades), and parts thereof:"	
	"Other saw blades, and parts thereof:"	
	Other:	
	"Hand-operated spanners and wrenches, and parts thereof:"	
	Other handtools (including glass cutters) and parts thereof:	
	Of iron or steel:	
	Other:	
	Of iron or steel	
	Edged handtools:	
	Vises:	
	"Rock drilling or earth boring tools, and parts thereof:"	
	Other:	
	Other:	
	"Rotary rock drill bits, core bits and reamers:"	
	Twist drills:	
	Other:	
	Other:	
	"Not suitable for cutting metal, and parts thereof:"	
	Other:	
	For woodworking:	
	Other:	
	"Not suitable for cutting metal, and parts thereof:"	
	Other:	
	Knives with stainless steel handles:	
	With handles containing nickel or containing over 10 percent by weight of manganese:	
	Other:	
	With rubber or plastic handles:	
	Other:	
	Valued over $1.75/dozen:	
	"Manicure and pedicure sets, and combinations thereof:"	
	Cleavers and the like not elsewhere specified or included:	
	Other:	
	Forks:	
	With stainless steel handles:	
	With handles containing nickel or containing over 10 percent by weight of manganese:	
	Other:	
	Other:	
	Other:	
	Spoons and ladles:	
	With stainless steel handles:	
	Not of cylinder or pin tumbler construction:	
	Of cylinder or pin tumbler construction:	
	"Of iron or steel, of aluminum or of zinc:"	
	"Other mountings, fittings and similar articles, and parts thereof:"	
	Other:	
	"Suitable for interior and exterior doors (except garage, overhead or sliding doors):"	
	"Suitable for interior and exterior doors (except garage, overhead or sliding doors):"	
	"Harness and saddlery or riding-bridle hardware, and parts thereof:"	
	Other:	
	Other:	
	"For railway vehicles, aircraft, vessels and other vehicles (except motor vehicles) of section XVII:"	
	"Statuettes and other ornaments, and parts thereof:"	
	Steam or other vapor generating boilers:	
	Other turbines:	
	"Stationary steam turbines, condensing type:"	
	Other:	
	Of steam turbines:	
	Other:	
	For use in civil aircraft:	
	New:	
	Marine propulsion engines:	
	Inboard engines with inboard drive:	
	Reciprocating piston engines of a kind used for the propulsion of vehicles of chapter 87:	
	Exceeding <il>37.3 kW</il>:	
	"To be installed in vehicles of subheading 8701.21, 8701.22, 8701.23, 8701.24 or 8701.29, or heading 8702, 8703 or 8704:"	
	"Of a cylinder capacity not exceeding <il>2,000 cc</il>:"	
	Exceeding <il>37.3 kW</il>:	
	"To be installed in vehicles of subheading 8701.21, 8701.22, 8701.23, 8701.24 or 8701.29, or heading 8702, 8703 or 8704:"	
	"Of a cylinder capacity exceeding <il>2,000 cc</il>:"	
	Exceeding <il>37.3 kW</il>:	
	"To be installed in vehicles of subheading 8701.21, 8701.22, 8701.23, 8701.24 or 8701.29, or heading 8702, 8703 or 8704:"	
	Not exceeding <il>37.3 kW</il>:	
	Other:	
	Other:	
	Other:	
	Other:	
	"To be installed in vehicles of subheading 8701.21, 8701.22, 8701.23, 8701.24 or 8701.29, or heading 8702, 8703 or 8704:"	
	Other:	
	Hydraulic turbines and water wheels:	
	Turbojets:	
	Turbopropellers:	
	Other gas turbines:	
	Parts:	
	Parts of aircraft turbines:	
	Parts of aircraft turbines:	
	Parts of aircraft gas turbines:	
	Parts of nonaircraft gas turbines:	
	Other:	
	Hydraulic power engines and motors:	
	Other:	
	Unlimited rotary acting:	
	Pneumatic power engines and motors:	
	Of hydraulic power engines and motors:	
	Of pneumatic power engines and motors:	
	Other:	
	Pumps fitted or designed to be fitted with a measuring device:	
	Other:	
	Hydraulic fluid power pumps	
	Hydraulic fluid power pumps:	
	Other:	
	Other:	
	"Single-stage, single-suction, close-coupled:"	
	"Single-stage, single-suction, frame- mounted:"	
	Other pumps; liquid elevators:	
	Parts:	
	Of hydraulic fluid power pumps:	
	Of subheading 8413.50.00:	
	Screw type:	
	Other:	
	For all refrigerants except ammonia	
	Other:	
	Fans:	
	Other	
	Other:	
	Air compressors:	
	Stationary:	
	Reciprocating:	
	Rotary:	
	Portable:	
	Other:	
	"Other, including reciprocating and rotary:"	
	Of compressors:	
	Of refrigerating and air conditioning compressors:	
	Other:	
	Of compressors of subheading 8414.40:	
	Other:	
	Other:	
	"Other, except parts:"	
	Self-contained:	
	Self-contained machines and remote condenser type air conditioners other than year-round units:	
	Year-round units (heating and cooling):	
	Room or central station air conditioning units for use with water chillers:	
	Dehumidifiers:	
	Heat exchangers including condensing units:	
	Condensing units:	
	Other:	
	Compression type:	
	Having a refrigerated volume of <il>382 liters</il> and over:	
	French door refrigerators with a bottom freezer compartment:	
	Of a width exceeding <il>87 centimeters</il> but not exceeding <il>95 centimeters:</il>	
	"Refrigerators, household type:"	
	Other refrigerating or freezing equipment; heat pumps:	
	Parts:	
	Refrigeration condensing units:	
	Other:	
	"Instantaneous or storage water heaters, nonelectric:"	
	Dryers:	
	"Other machinery, plant or equipment:"	
	Other:	
	Designed for cooling:	
	Other:	
	Other:	
	Parts:	
	"Centrifuges, including centrifugal dryers:"	
	Filtering or purifying machinery and apparatus for liquids:	
	Other:	
	Other:	
	Filtering or purifying machinery and apparatus for gases:	
	Dust collection and air purification equipment:	
	Other:	
	Industrial gas cleaning equipment:	
	Other:	
	Parts:	
	Dishwashing machines:	
	Other:	
	"Machinery for filling, closing, sealing, capsuling or labeling bottles, cans or similar containers:"	
	"Machines for filling, whether or not capable of performing other operations:"	
	"Machines which perform only the following operations: capping, lidding, sealing or closing:"	
	"Machinery for filling, closing, sealing, capsuling or labeling boxes, bags or similar containers:"	
	Of dishwashing machines:	
	Other:	
	Other:	
	Other weighing machinery:	
	Digital electronic type:	
	Agricultural or horticultural sprayers:	
	Other appliances:	
	Irrigation equipment:	
	Pulley tackle and hoists other than skip hoists or hoists of a kind used for raising vehicles:	
	Winches; capstans:	
	Jacks; hoists of a kind used for raising vehicles:	
	"Overhead traveling cranes, transporter cranes, gantry cranes, bridge cranes, mobile lifting frames and straddle carriers:"	
	"Other machinery, self-propelled:"	
	Other:	
	Other machinery:	
	Operator riding:	
	Automated guided vehicle (AGV):	
	Other:	
	"Other continuous-action elevators and conveyors, for goods or materials:"	
	Bulldozers and angledozers:	
	New:	
	New:	
	"Mechanical shovels, excavators and shovel loaders:"	
	New:	
	"Integral tractor shovel loaders, rear engine mounted:"	
	4 wheel drive with a bucket capacity of:	
	New:	
	New:	
	Crawler mounted:	
	Other:	
	New:	
	New:	
	Ditchers and trenchers:	
	Snowblowers:	
	Coal or rock cutters and tunneling machinery:	
	Other boring or sinking machinery:	
	For oil well and gas field drilling:	
	For water well drilling:	
	"Other machinery, not self-propelled:"	
	Of machinery of heading 8428:	
	Other:	
	"Of machinery of heading 8426, 8429 or 8430:"	
	Of oil and gas field machinery:	
	Attachments for mounting on machinery:	
	Other:	
	Parts of coal or rock cutters and tunneling machinery:	
	"Parts of backhoes, shovels, clamshells and draglines:"	
	Other:	
	Other:	
	Other:	
	Other:	
	"Harrows, scarifiers, cultivators, weeders and hoes:"	
	"Cultivators, weeders and hoes:"	
	"Seeders, planters and transplanters"	
	Manure spreaders and fertilizer distributors:	
	Other:	
	"Mowers for lawns, parks or sports grounds:"	
	"Riding mowers, other than electric:"	
	Other:	
	Other:	
	Tractor drawn or for tractor mounting:	
	Other harvesting machinery; threshing machinery	
	"Of other mowers, harvesting machines and threshing machines:"	
	Poultry-keeping machinery; poultry incubators and brooders:	
	Other:	
	Other:	
	Parts:	
	Other:	
	Parts:	
	"Printing machinery used for printing by means of plates, cylinders and other printing components of heading 8442:"	
	"Other printers, copying machines and facsimile machines, whether or not combined:"	
	Laser:	
	Copying machines:	
	Electrostatic photocopying apparatus:	
	Other photocopying apparatus:	
	Parts and accessories:	
	Parts and accessories of printers:	
	Parts and accessories of facsimile machines:	
	Parts and accessories of copying machines:	
	For the goods of subheading 8443.31:	
	Machines for preparing textile fibers:	
	"For weaving fabrics of a width exceeding <il>30 cm</il>, shuttle type:"	
	Circular knitting machines:	
	V-bed flat knitting machines:	
	"Auxiliary machinery for machines of heading 8444, 8445, 8446 or 8447:"	
	Parts and accessories of machines of heading 8445 or of their auxiliary machinery:	
	Parts and accessories of weaving machines (looms) or of their auxiliary machinery:	
	Parts and accessories of machines of heading 8447 or of their auxiliary machinery:	
	Needles for knitting machines:	
	"Machines, each of a dry linen capacity not exceeding <il>10 kg:</il>"	
	Other:	
	Other:	
	Drying machines:	
	Other:	
	Other sewing machines:	
	Ingot molds:	
	Of casting machines:	
	Other rolling mills:	
	Gray iron:	
	Cast steel:	
	Other:	
	Operated by laser or other light or photon beam processes	
	Other:	
	Other:	
	Other:	
	Other:	
	With automatic tool changers	
	Vertical-spindle machines with a Y-axis travel of--	
	Horizontal-spindle machines with a Y-axis travel of--	
	Horizontal lathes:	
	Other:	
	Other:	
	Other:	
	Automatic bar and/or chucking machines:	
	Other lathes:	
	Other:	
	Other:	
	Other drilling machines:	
	Other:	
	Other:	
	Other boring-milling machines:	
	Other:	
	Horizontal spindle	
	Other:	
	Other boring machines:	
	Other:	
	Other:	
	"Milling machines, knee type:"	
	Other milling machines:	
	Other:	
	Flat-surface grinding machines:	
	Other:	
	Other grinding machines:	
	Other:	
	Other:	
	Sharpening (tool or cutter grinding) machines:	
	Other:	
	Other:	
	Other:	
	Planing machines:	
	Other:	
	Planing machines:	
	Other:	
	"Hot forming machines for forging, die forging (including presses) and hot hammers:"	
	Other:	
	Other:	
	"Bending, folding, straightening or flattening machines (including press brakes) for flat products:"	
	Other:	
	"Slitting lines, cut-to-length lines and other shearing machines (excluding presses) for flat products, other than combined punching and shearing machines:"	
	"Punching, notching or nibbling machines (excluding presses) for flat products including combined punching and shearing machines:"	
	"Machines for working tube, pipe, hollow section and bar (excluding presses):"	
	Cold metal working presses:	
	Woodworking machines:	
	Used or rebuilt:	
	Other:	
	Tenoners:	
	Other:	
	Woodworking machines:	
	Used or rebuilt:	
	Other:	
	Other:	
	Panel saws:	
	Band saws:	
	For woodworking:	
	Used or rebuilt	
	Other:	
	Dovetailing machines:	
	Planers:	
	Jointers:	
	Routers:	
	Other:	
	Shapers and profilers:	
	For woodworking:	
	Used or rebuilt:	
	Other:	
	Edge belt sanders:	
	For woodworking:	
	Other:	
	Presses:	
	For woodworking:	
	Used or rebuilt:	
	Other:	
	Boring machines:	
	Other:	
	Other drilling machines:	
	For woodworking:	
	Woodworking machines:	
	For metalworking machine tools:	
	Other work holders:	
	Other special attachments	
	Other:	
	Other:	
	"Bed, base, table, head, tail, saddle, cradle, cross slide, column, arm, saw arm, wheelhead, tailstock, headstock, ram, frame, work-arbor support, and C-frame castings, weldments or fabrications:"	
	Other:	
	Other:	
	Other:	
	Other:	
	"Cast-iron parts not advanced beyond cleaning, and machined only for the removal of fins, gates, sprues and risers or to permit location in finishing machinery:"	
	Other	
	Pneumatic:	
	With self-contained electric motor:	
	Rotary:	
	Other:	
	"Grinders, polishers and sanders:"	
	Other:	
	Other tools:	
	Parts:	
	Other electronic calculating machines:	
	Other automatic data processing machines:	
	Other:	
	Magnetic disk drive units:	
	For a disk of a diameter exceeding <il>21 cm:</il>	
	Other:	
	Other storage units:	
	Other:	
	Parts and accessories of the machines of heading 8470:	
	Not incorporating a cathode ray tube:	
	Stationary:	
	Mixing or kneading machines:	
	"For agglomerating, shaping or molding solid mineral fuels, ceramic paste, unhardened cements, plastering materials or other mineral products in powder or paste form:"	
	Machines for manufacturing or hot working glass or glassware:	
	Automatic beverage-vending machines:	
	Other machines:	
	Of a type used for processing thermoplastics:	
	Of a type used for processing rubber or other thermosetting materials:	
	Of a type used for processing thermoplastics:	
	"Single screw, with a screw size:"	
	"Other, including multiple screw:"	
	Other machinery for molding or otherwise forming:	
	"Concrete and bituminous pavers, finishers and spreaders:"	
	Passenger boarding bridges:	
	Other machines and mechanical appliances:	
	Electromechanical appliances with self-contained electric motor:	
	Of trash compactors:	
	Other:	
	Molds for metal or metal carbides:	
	Molds for rubber or plastics:	
	Other:	
	Pneumatic fluid power type:	
	Hydraulic valves:	
	Directional control	
	Other:	
	Directional control:	
	Hand operated:	
	Having a pressure rating under <il>850 kPa:</il>	
	Having a pressure rating of <il>850 kPa</il> or over:	
	Of iron:	
	Of steel:	
	Other:	
	With electrical or electro-hydraulic actuators:	
	With pneumatic actuators:	
	Of hand operated and check appliances:	
	Of valves of subheading 8481.20:	
	Other:	
	Other:	
	Other:	
	Angular contact bearings:	
	Wheel hub bearings units:	
	Radial bearings:	
	Single row bearings:	
	"Other bearings, having an outside diameter of:"	
	Cup and cone assemblies entered as a set:	
	Wheel hub units:	
	Other:	
	Cone assemblies entered separately:	
	Parts:	
	Balls:	
	Inner or outer rings or races:	
	Cups:	
	Other:	
	Camshafts and crankshafts:	
	For vehicles of chapter 87:	
	Bearing housings:	
	Plain shaft bearings:	
	With housing:	
	Without housing:	
